CustomerID,Lookalikes
C0001,"[('C0075', 1.0), ('C0073', 1.0), ('C0072', 1.0)]"
C0002,"[('C0075', 1.0), ('C0073', 1.0), ('C0072', 1.0)]"
C0003,"[('C0075', 1.0), ('C0073', 1.0), ('C0072', 1.0)]"
C0004,"[('C0075', 1.0), ('C0073', 1.0), ('C0072', 1.0)]"
C0005,"[('C0075', 1.0), ('C0073', 1.0), ('C0072', 1.0)]"
C0006,"[('C0075', 1.0), ('C0073', 1.0), ('C0072', 1.0)]"
C0007,"[('C0075', 1.0), ('C0073', 1.0), ('C0072', 1.0)]"
C0008,"[('C0075', 1.0), ('C0073', 1.0), ('C0072', 1.0)]"
C0009,"[('C0075', 1.0), ('C0073', 1.0), ('C0072', 1.0)]"
C0010,"[('C0075', 1.0), ('C0073', 1.0), ('C0072', 1.0)]"
C0011,"[('C0075', 1.0), ('C0073', 1.0), ('C0072', 1.0)]"
C0012,"[('C0075', 1.0), ('C0073', 1.0), ('C0072', 1.0)]"
C0013,"[('C0075', 1.0), ('C0073', 1.0), ('C0072', 1.0)]"
C0014,"[('C0075', 1.0), ('C0073', 1.0), ('C0072', 1.0)]"
C0015,"[('C0075', 1.0), ('C0073', 1.0), ('C0072', 1.0)]"
C0016,"[('C0075', 1.0), ('C0073', 1.0), ('C0072', 1.0)]"
C0017,"[('C0075', 1.0), ('C0073', 1.0), ('C0072', 1.0)]"
C0018,"[('C0075', 1.0), ('C0073', 1.0), ('C0072', 1.0)]"
C0019,"[('C0075', 1.0), ('C0073', 1.0), ('C0072', 1.0)]"
C0020,"[('C0075', 1.0), ('C0073', 1.0), ('C0072', 1.0)]"
